Archipelago,Subfamily,Tribe,Genus,Species,Subspecies,Our_name,Native,Endemic,Extinct_extant,Phylo_available,Time_calibrated,Archipelago_clade,DAISIE_status,Sampled,Name_in_tree
Hawaii,Asteroideae,Eupatorieae,Adenostemma,viscosum,NA,Adenostemma_viscosum,Native,NonEndemic,Extant,Yes_clade,Dated,Adenostemma,Non_endemic,FALSE,NA
Hawaii,Asteroideae,Anthemideae,Artemisia,kauaiensis,NA,Artemisia_kauaiensis,Native,Endemic,Extant,Yes_species,Dated,Artemisia,Endemic,FALSE,NA
Hawaii,Asteroideae,Anthemideae,Artemisia,mauiensis,NA,Artemisia_mauiensis,Native,Endemic,Extant,Yes_species,Dated,Artemisia,Endemic,FALSE,NA
Hawaii,Asteroideae,Anthemideae,Artemisia,australis,NA,Artemisia_australis,Native,Endemic,Extant,Yes_species,Dated,Artemisia,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,amplectens,NA,Bidens_amplectens,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,Bidamplectens2K13
Hawaii,Asteroideae,Coreopsideae,Bidens,asymmetrica,NA,Bidens_asymmetrica,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"Bidasymmetrica1K28, Bidasymmetrica2K29"
Hawaii,Asteroideae,Coreopsideae,Bidens,campylotheca,subsp. waihoiensis,Bidens_campylotheca_waihoiensis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,campylotheca,subsp. campylotheca,Bidens_campylotheca_campylotheca,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidcampylothecacampyloK17
Hawaii,Asteroideae,Coreopsideae,Bidens,campylotheca,subsp. pentamera,Bidens_campylotheca_pentamera,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,cervicata,NA,Bidens_cervicata,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"BidcervicataK2223, BidcervicataGandersK86"
Hawaii,Asteroideae,Coreopsideae,Bidens,conjuncta,NA,Bidens_conjuncta,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,Bidconjuncta1PerlmanK50
Hawaii,Asteroideae,Coreopsideae,Bidens,cosmoides,NA,Bidens_cosmoides,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"Bidcosmoides1K3787, Bidcosmoides2WW13050G80"
Hawaii,Asteroideae,Coreopsideae,Bidens,forbesii,subsp. forbesii,Bidens_forbesii_forbesii,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,Bidforbesii2K15
Hawaii,Asteroideae,Coreopsideae,Bidens,forbesii,subsp. kahiliensis,Bidens_forbesii_kahiliensis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,hawaiensis,NA,Bidens_hawaiensis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,Bidhawaiensis1K37
Hawaii,Asteroideae,Coreopsideae,Bidens,hillebrandiana,subsp. polycephala,Bidens_hillebrandiana_polycephala,Native,Endemic,Extant,Yes_clade,Dated,Bidens,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,hillebrandiana,subsp. hillebrandiana,Bidens_hillebrandiana_hillebrandiana,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidhillebrahillebraPerlman15190B225
Hawaii,Asteroideae,Coreopsideae,Bidens,macrocarpa,NA,Bidens_macrocarpa,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"Bidmacrocarpa2FMB12806G85, BidmacrocarpaCammels5490B110"
Hawaii,Asteroideae,Coreopsideae,Bidens,mauiensis,NA,Bidens_mauiensis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,Bidmauiensis1K18
Hawaii,Asteroideae,Coreopsideae,Bidens,menziesii,subsp. filiformis,Bidens_menziesii_filiformis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidmenziesiifiliformPerlman10284B230
Hawaii,Asteroideae,Coreopsideae,Bidens,menziesii,subsp. menziesii,Bidens_menziesii_menziesii,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidmenziesiimenziesiiWood6029B231
Hawaii,Asteroideae,Coreopsideae,Bidens,micrantha,subsp. micrantha,Bidens_micrantha_micrantha,Native,Endemic,Extant,Yes_clade,Dated,Bidens,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,micrantha,subsp. ctenophylla,Bidens_micrantha_ctenophylla,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidmicranthactenoPerlman16803B233
Hawaii,Asteroideae,Coreopsideae,Bidens,micrantha,subsp. kalealaha,Bidens_micrantha_kalealaha,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidmicrankalealOppenhH89905B234
Hawaii,Asteroideae,Coreopsideae,Bidens,molokaiensis,NA,Bidens_molokaiensis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidmolokaiensisK45
Hawaii,Asteroideae,Coreopsideae,Bidens,populifolia,NA,Bidens_populifolia,Native,Endemic,Extant,Yes_clade,Dated,Bidens,Endemic,TRUE,BidpopulifoliaGandersK80
Hawaii,Asteroideae,Coreopsideae,Bidens,sandvicensis,subsp. confusa,Bidens_sandvicensis_confusa,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidsandvicensisconfusaK19
Hawaii,Asteroideae,Coreopsideae,Bidens,sandvicensis,subsp. sandvicensis,Bidens_sandvicensis_sandvicensis,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"Bidsandvicensis1K3786, BidsandvicensisLorence5372B109, BidsandvicensisF12800G111, Bidsandvicensis2K35, BidsandvicensisH1004G89, "
Hawaii,Asteroideae,Coreopsideae,Bidens,torta,NA,Bidens_torta,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,Bidtorta2K1675
Hawaii,Asteroideae,Coreopsideae,Bidens,valida,NA,Bidens_valida,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"BidvalidaK20, BidvalidaWood1351B116"
Hawaii,Asteroideae,Coreopsideae,Bidens,wiebkei,NA,Bidens_wiebkei,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,"BidwiebkeiK48, BidwiebkeiK47"
Hawaii,Cichorioideae,Vernonieae,Hesperomannia,oahuensis,NA,Hesperomannia_oahuensis,Native,Endemic,Extant,Yes_species,Dated,Hesperomannia,Endemic,TRUE,Hesperomannia_oahuensis
Hawaii,Cichorioideae,Vernonieae,Hesperomannia,arborescens,NA,Hesperomannia_arborescens,Native,Endemic,Extant,Yes_species,Not_dated,Hesperomannia,Endemic,FALSE,NA
Hawaii,Cichorioideae,Vernonieae,Hesperomannia,swezeyi,NA,Hesperomannia_swezeyi,Native,Endemic,Extant,Yes_species,Not_dated,Hesperomannia,Endemic,FALSE,NA
Hawaii,Cichorioideae,Vernonieae,Hesperomannia,lydgatei,NA,Hesperomannia_lydgatei,Native,Endemic,Extant,Yes_species,Dated,Hesperomannia,Endemic,TRUE,Hesperomannia_lydgatei
Hawaii,Asteroideae,Astereae,Keysseria,maviensis,NA,Keysseria_maviensis,Native,Endemic,Extant,Yes_species,Not_dated,Keysseria,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Keysseria,erici,NA,Keysseria_erici,Native,Endemic,Extant,Yes_clade,Dated,Keysseria,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Keysseria,helena,NA,Keysseria_helena,Native,Endemic,Extant,Yes_species,Dated,Keysseria,Endemic,FALSE,NA
