Order ;Genus;Species;Name_in_Upham;Taxonomy note;In_Upham;DNA_in_Upham;Clade_Colonization_Scenario_1;Clade_Colonization_Scenario_2;Status_Species;Additional_range_note;Extinct/Extant;Subspecies;Other_Names;Common_Name;Family;References;Extinction_References
Afrosoricida;Echinops;telfairi;Echinops telfairi;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;NA;Lesser hedgehog tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Afrosoricida;Geogale;aurita;Geogale aurita;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;Cryptogale australis;Large-eared tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Afrosoricida;Hemicentetes;nigriceps;Hemicentetes nigriceps;NA;Yes;No;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;NA;Highland streaked tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
Afrosoricida;Hemicentetes;semispinosus;Hemicentetes semispinosus;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;NA;Lowland streaked tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
Afrosoricida;Microgale;brevicaudata;Microgale brevicaudata;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;Microgale breviceps, Microgale occidentalis;Short-tailed shrew-tenrec;Tenrecidae;"Goodman et al., 2011; Everson et al., 2016; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Afrosoricida;Microgale;cowani;Microgale cowani;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;Microgale longirostris, Microgale crassipes, Microgale c. nigrescens, ;Cowan's shrew tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
Afrosoricida;Microgale;drouhardi;Microgale drouhardi;NA;Yes;No;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;Microgale melanorrhachis;Drouhard's shrew tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
Afrosoricida;Microgale;dryas;Microgale dryas;NA;Yes;No;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;NA;Dryad shrew tenrec;Tenrecidae;"Jenkins, 1992; Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
Afrosoricida;Microgale;fotsifotsy;Microgale fotsifotsy;NA;Yes;No;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;NA;Pale shrew tenrec;Tenrecidae;"Jenkins et al., 1997; Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
Afrosoricida;Microgale;gracilis;Microgale gracilis;NA;Yes;No;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;Leptogale gracilis;Gracile shrew tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Kouvari & van der Geer, 2018";NA
